ProductName,CategoryID,SupplierID,QuantityPerUnit,UnitPrice,UnitsInStock,UnitsOnOrder,ReorderLevel,Discontinued
Producto Prueba 67,8,2,10 unidades,27.29,165,1,28,false
Producto Prueba 68,2,2,,307.09,14,7,20,false
Producto Prueba 69,4,7,caja x 20,310.51,77,13,29,false
Producto Prueba 70,5,3,24 - 200 g pkgs,265.33,29,42,13,true
Producto Prueba 71,2,10,10 unidades,402.57,96,16,26,false
Producto Prueba 72,2,6,10 unidades,127.87,45,30,12,true
Producto Prueba 73,7,3,paquete x 5,279.85,256,29,7,false
Producto Prueba 74,8,1,,88.6,188,25,15,false
Producto Prueba 75,4,6,caja x 20,431.45,70,0,5,false
Producto Prueba 76,6,10,12 - 500 g pkgs,32.81,96,43,8,false
Producto Prueba 77,2,9,,113.13,16,28,3,false
Producto Prueba 78,4,6,paquete x 5,384.43,128,19,16,false
Producto Prueba 79,3,4,24 - 200 g pkgs,348.49,247,1,1,false
Producto Prueba 80,6,9,12 - 500 g pkgs,255.67,82,28,0,false
Producto Prueba 81,2,7,caja x 20,380.72,222,41,30,false
Producto Prueba 82,4,,12 - 500 g pkgs,247.08,139,37,21,false
Producto Prueba 83,7,9,10 unidades,222.87,28,41,27,false
Producto Prueba 84,7,4,paquete x 5,265.25,285,1,17,false
Producto Prueba 85,1,4,,323.12,193,9,13,true
Producto Prueba 86,2,5,caja x 20,164.42,91,40,5,false
Producto Prueba 87,2,3,12 - 500 g pkgs,188.26,244,0,28,false
Producto Prueba 88,3,10,10 unidades,432.05,85,40,25,false
Producto Prueba 89,7,5,10 unidades,295.28,45,12,16,false
Producto Prueba 90,3,10,12 - 500 g pkgs,208.8,80,29,29,false
Producto Prueba 91,4,5,12 - 500 g pkgs,91.29,4,35,22,false
Producto Prueba 92,5,10,10 unidades,376.29,250,45,2,false
Producto Prueba 93,8,9,paquete x 5,479.68,20,5,10,false
Producto Prueba 94,8,5,12 - 500 g pkgs,98.71,267,32,16,false
Producto Prueba 95,5,4,,42.66,21,7,10,false
Producto Prueba 96,7,1,,476.82,191,43,12,false
Producto Prueba 97,2,10,12 - 500 g pkgs,99.04,232,23,12,false
Producto Prueba 98,4,7,caja x 20,286.36,147,47,24,false
Producto Prueba 99,4,6,24 - 200 g pkgs,1.76,92,35,5,false
Producto Prueba 100,3,5,24 - 200 g pkgs,493.56,37,41,20,false
Producto Prueba 101,8,7,10 unidades,52.17,206,24,22,false
Producto Prueba 102,2,7,paquete x 5,290.21,183,42,4,false
Producto Prueba 103,7,,,142.79,182,30,23,false
Producto Prueba 104,1,5,12 - 500 g pkgs,144.85,101,37,5,false
Producto Prueba 105,2,5,24 - 200 g pkgs,281.19,299,45,21,false
Producto Prueba 106,8,5,10 unidades,387.93,186,38,15,false
Producto Prueba 107,7,8,caja x 20,470.88,88,24,0,false
Producto Prueba 108,7,10,caja x 20,456.51,127,42,29,false
Producto Prueba 109,2,9,,117.21,159,48,2,false
Producto Prueba 110,3,6,caja x 20,396.84,13,10,8,false
Producto Prueba 111,7,9,,75.08,217,17,1,false
Producto Prueba 112,7,8,10 unidades,140.54,274,39,2,false
Producto Prueba 113,1,6,caja x 20,399.23,168,25,19,false
Producto Prueba 114,8,8,10 unidades,201.88,117,11,24,false
Producto Prueba 115,5,4,caja x 20,361.62,180,19,6,false
Producto Prueba 116,1,10,caja x 20,141.63,218,44,11,false
Producto Prueba 117,5,2,24 - 200 g pkgs,486.52,144,37,6,false
Producto Prueba 118,1,8,24 - 200 g pkgs,485.66,5,21,22,false
Producto Prueba 119,3,6,24 - 200 g pkgs,493.12,45,5,14,false
Producto Prueba 120,1,1,10 unidades,381.0,40,27,18,false
Producto Prueba 121,5,5,,128.88,65,41,28,false
Producto Prueba 122,1,4,12 - 500 g pkgs,53.9,221,8,7,false
Producto Prueba 123,1,9,caja x 20,165.38,276,22,10,false
Producto Prueba 124,7,5,,484.9,274,31,21,false
Producto Prueba 125,5,1,12 - 500 g pkgs,390.25,269,45,6,false
Producto Prueba 126,1,1,24 - 200 g pkgs,446.3,258,1,2,false
Producto Prueba 127,3,10,10 unidades,265.86,217,9,5,false
Producto Prueba 128,5,7,caja x 20,349.06,129,20,10,false
Producto Prueba 129,4,1,12 - 500 g pkgs,5.15,253,31,20,false
Producto Prueba 130,4,4,paquete x 5,453.86,299,45,22,false
Producto Prueba 131,4,1,,441.47,238,46,9,false
Producto Prueba 132,3,10,12 - 500 g pkgs,131.16,285,3,11,false
Producto Prueba 133,5,4,,374.99,100,35,20,false
Producto Prueba 134,7,1,,263.65,10,11,2,false
Producto Prueba 135,5,6,paquete x 5,161.06,238,4,23,false
Producto Prueba 136,5,8,paquete x 5,291.18,46,30,12,false
Producto Prueba 137,5,6,12 - 500 g pkgs,493.82,264,32,7,false
Producto Prueba 138,5,9,,116.77,76,25,2,false
Producto Prueba 139,2,3,,326.78,82,0,25,false
Producto Prueba 140,6,4,,478.81,180,21,19,false
Producto Prueba 141,3,10,,126.77,127,32,22,false
Producto Prueba 142,7,4,,464.9,13,20,19,false
Producto Prueba 143,8,7,24 - 200 g pkgs,398.21,80,0,25,false
Producto Prueba 144,1,2,,130.73,197,20,30,false
Producto Prueba 145,2,1,24 - 200 g pkgs,433.15,6,5,17,false
Producto Prueba 146,1,4,caja x 20,461.46,237,6,22,false
Producto Prueba 147,6,2,12 - 500 g pkgs,335.07,175,7,20,true
Producto Prueba 148,3,1,caja x 20,5.5,183,37,29,false
Producto Prueba 149,2,3,caja x 20,369.99,45,37,23,false
Producto Prueba 150,7,3,caja x 20,388.78,269,17,28,false
Producto Prueba 151,6,4,10 unidades,14.25,139,22,5,false
Producto Prueba 152,4,,caja x 20,439.25,283,35,11,false
Producto Prueba 153,1,6,paquete x 5,424.98,212,2,25,false
Producto Prueba 154,1,4,10 unidades,144.73,262,10,19,false
Producto Prueba 155,5,7,24 - 200 g pkgs,134.06,269,37,19,false
Producto Prueba 156,6,10,paquete x 5,426.34,229,32,16,false
Producto Prueba 157,5,2,,438.22,97,45,9,false
Producto Prueba 158,3,7,caja x 20,380.1,46,20,30,false
Producto Prueba 159,3,,,381.42,81,0,30,false
Producto Prueba 160,5,5,caja x 20,339.75,134,24,10,false
Producto Prueba 161,5,9,12 - 500 g pkgs,19.54,224,5,21,false
Producto Prueba 162,1,,10 unidades,318.7,234,23,15,false
Producto Prueba 163,6,,caja x 20,35.63,148,48,23,false
Producto Prueba 164,1,8,,335.19,151,50,4,false
Producto Prueba 165,1,6,10 unidades,476.36,10,23,12,false
Producto Prueba 166,2,2,paquete x 5,221.96,238,6,12,false
Producto Prueba 167,2,6,10 unidades,392.24,272,23,26,false
Producto Prueba 168,2,8,caja x 20,344.17,281,41,7,false
Producto Prueba 169,8,8,24 - 200 g pkgs,127.51,95,25,24,false
Producto Prueba 170,1,8,,97.45,1,49,3,false
Producto Prueba 171,4,5,paquete x 5,388.84,113,42,18,true
Producto Prueba 172,3,9,10 unidades,422.87,73,50,27,false
Producto Prueba 173,3,8,24 - 200 g pkgs,24.51,198,25,1,false
Producto Prueba 174,1,1,caja x 20,118.9,101,13,18,false
Producto Prueba 175,7,1,paquete x 5,314.77,27,39,28,false
Producto Prueba 176,3,8,24 - 200 g pkgs,489.1,84,41,16,false
Producto Prueba 177,7,2,paquete x 5,271.88,156,34,20,false
Producto Prueba 178,4,7,paquete x 5,122.07,105,4,12,false
Producto Prueba 179,6,2,paquete x 5,438.04,26,14,21,false
Producto Prueba 180,4,8,12 - 500 g pkgs,351.09,288,41,10,true
Producto Prueba 181,7,7,,16.44,76,29,21,false
Producto Prueba 182,5,5,,65.29,113,19,20,true
Producto Prueba 183,4,9,caja x 20,122.08,250,11,27,false
Producto Prueba 184,6,2,paquete x 5,57.33,86,25,21,false
Producto Prueba 185,7,10,12 - 500 g pkgs,258.44,284,17,10,false
Producto Prueba 186,5,7,caja x 20,147.58,298,26,9,false
Producto Prueba 187,8,4,paquete x 5,302.64,236,19,8,false
Producto Prueba 188,1,5,caja x 20,417.48,146,41,20,false
Producto Prueba 189,5,7,24 - 200 g pkgs,383.07,11,29,20,false
Producto Prueba 190,5,8,12 - 500 g pkgs,412.43,78,34,28,false
Producto Prueba 191,4,5,paquete x 5,385.79,291,5,28,true
Producto Prueba 192,3,8,24 - 200 g pkgs,345.75,180,41,5,false
Producto Prueba 193,1,10,,412.9,196,31,8,false
Producto Prueba 194,3,5,24 - 200 g pkgs,422.43,289,42,30,false
Producto Prueba 195,5,3,caja x 20,475.73,297,11,30,false
Producto Prueba 196,1,,paquete x 5,39.39,106,11,15,false
Producto Prueba 197,6,4,caja x 20,76.82,112,2,29,false
Producto Prueba 198,6,8,24 - 200 g pkgs,216.93,172,41,30,false
Producto Prueba 199,5,4,,412.87,292,34,27,false
Producto Prueba 200,6,5,caja x 20,193.34,181,3,29,false
Producto Prueba 201,1,,caja x 20,16.73,282,33,4,false
Producto Prueba 202,1,3,,202.45,100,2,18,false
Producto Prueba 203,6,5,,346.96,206,1,1,false
Producto Prueba 204,3,7,24 - 200 g pkgs,140.32,90,40,4,false
Producto Prueba 205,1,3,caja x 20,234.3,117,37,8,false
Producto Prueba 206,7,10,24 - 200 g pkgs,485.73,87,29,25,false
Producto Prueba 207,1,2,caja x 20,329.73,38,18,17,false
Producto Prueba 208,3,1,24 - 200 g pkgs,153.98,272,20,3,false
Producto Prueba 209,6,2,paquete x 5,365.58,235,24,27,false
Producto Prueba 210,4,6,24 - 200 g pkgs,8.04,248,42,16,false
Producto Prueba 211,3,4,caja x 20,395.62,231,39,0,false
Producto Prueba 212,4,9,paquete x 5,84.19,223,33,28,false
Producto Prueba 213,6,7,24 - 200 g pkgs,472.75,54,50,20,false
Producto Prueba 214,5,2,paquete x 5,82.11,223,44,6,false
Producto Prueba 215,2,1,24 - 200 g pkgs,3.03,214,10,29,false
Producto Prueba 216,6,5,paquete x 5,30.98,74,13,19,false
Producto Prueba 217,8,3,10 unidades,153.23,59,36,14,false
Producto Prueba 218,4,2,10 unidades,427.62,100,31,26,false
Producto Prueba 219,6,9,paquete x 5,462.18,104,4,27,false
Producto Prueba 220,5,10,10 unidades,130.8,74,16,6,false
Producto Prueba 221,4,3,,187.06,217,25,23,false
Producto Prueba 222,2,7,10 unidades,32.71,223,0,3,false
Producto Prueba 223,6,8,paquete x 5,371.22,197,28,7,false
Producto Prueba 224,7,4,24 - 200 g pkgs,299.83,202,36,8,false
Producto Prueba 225,2,10,caja x 20,87.59,82,31,10,false
Producto Prueba 226,7,9,paquete x 5,20.05,29,33,28,true
Producto Prueba 227,2,9,paquete x 5,76.62,104,26,0,false
Producto Prueba 228,6,2,12 - 500 g pkgs,141.84,88,43,16,false
Producto Prueba 229,1,1,paquete x 5,286.46,104,13,4,false
Producto Prueba 230,8,3,caja x 20,291.92,67,41,5,false
Producto Prueba 231,7,10,,495.28,41,19,2,true
Producto Prueba 232,2,5,10 unidades,104.42,299,13,21,false
Producto Prueba 233,7,3,24 - 200 g pkgs,432.56,1,17,27,false
Producto Prueba 234,2,2,24 - 200 g pkgs,137.7,125,9,17,false
Producto Prueba 235,2,3,,24.44,36,23,14,false
Producto Prueba 236,1,2,paquete x 5,189.03,264,33,18,true
Producto Prueba 237,2,5,12 - 500 g pkgs,247.91,194,4,22,false
Producto Prueba 238,7,2,10 unidades,100.42,86,10,28,false
Producto Prueba 239,2,9,10 unidades,338.35,137,44,21,false
Producto Prueba 240,3,2,12 - 500 g pkgs,432.48,71,7,24,false
Producto Prueba 241,1,5,24 - 200 g pkgs,258.35,170,41,11,false
Producto Prueba 242,7,4,24 - 200 g pkgs,79.86,54,10,26,false
Producto Prueba 243,5,9,10 unidades,477.31,157,4,19,false
Producto Prueba 244,1,6,10 unidades,212.47,244,1,16,true
Producto Prueba 245,1,7,,421.97,91,25,22,false
Producto Prueba 246,4,3,24 - 200 g pkgs,474.76,293,8,15,false
Producto Prueba 247,7,10,,447.73,168,7,15,false
Producto Prueba 248,7,9,caja x 20,256.07,204,21,26,false
Producto Prueba 249,4,1,12 - 500 g pkgs,296.32,158,35,13,false
Producto Prueba 250,7,7,,278.09,6,12,21,false
Producto Prueba 251,5,8,24 - 200 g pkgs,269.28,80,13,16,false
Producto Prueba 252,8,,paquete x 5,242.61,150,17,14,true
Producto Prueba 253,8,2,12 - 500 g pkgs,99.9,263,18,17,false
Producto Prueba 254,7,9,paquete x 5,438.72,268,47,0,false
Producto Prueba 255,6,10,caja x 20,84.22,190,34,1,false
Producto Prueba 256,3,,paquete x 5,35.0,144,36,11,true
Producto Prueba 257,6,10,12 - 500 g pkgs,389.63,167,13,2,false
Producto Prueba 258,2,9,paquete x 5,135.75,172,11,7,false
Producto Prueba 259,3,1,10 unidades,251.17,272,19,18,true
Producto Prueba 260,8,4,24 - 200 g pkgs,354.32,30,13,22,false
Producto Prueba 261,4,2,12 - 500 g pkgs,468.57,208,5,25,false
Producto Prueba 262,3,6,paquete x 5,130.66,190,26,4,false
Producto Prueba 263,5,2,caja x 20,259.42,16,7,22,false
Producto Prueba 264,6,5,caja x 20,334.34,24,6,0,false
Producto Prueba 265,2,3,,333.79,171,5,3,false
Producto Prueba 266,2,7,24 - 200 g pkgs,16.73,207,10,4,false
Producto Prueba 267,2,5,12 - 500 g pkgs,367.65,235,36,26,false
Producto Prueba 268,1,5,,431.22,53,21,16,false
Producto Prueba 269,1,6,,83.91,83,43,9,false
Producto Prueba 270,8,9,paquete x 5,492.48,220,33,18,false
Producto Prueba 271,8,10,12 - 500 g pkgs,289.71,145,36,14,false
Producto Prueba 272,3,9,caja x 20,265.86,119,20,13,false
Producto Prueba 273,5,3,,165.2,172,11,11,false
Producto Prueba 274,6,1,,184.42,214,30,17,false
Producto Prueba 275,7,10,24 - 200 g pkgs,225.41,77,19,23,false
Producto Prueba 276,8,8,,23.0,28,1,24,false
Producto Prueba 277,7,1,,26.01,108,47,3,false
Producto Prueba 278,3,5,12 - 500 g pkgs,16.47,41,13,23,false
Producto Prueba 279,1,9,paquete x 5,416.38,110,7,17,false
Producto Prueba 280,5,6,12 - 500 g pkgs,239.87,78,20,20,false
Producto Prueba 281,6,3,paquete x 5,309.74,149,23,6,false
Producto Prueba 282,1,2,12 - 500 g pkgs,489.86,6,32,22,true
Producto Prueba 283,5,4,,291.14,85,50,14,true
Producto Prueba 284,7,,paquete x 5,68.97,36,14,23,false
Producto Prueba 285,4,9,,366.92,108,13,5,false
Producto Prueba 286,8,1,24 - 200 g pkgs,237.41,177,35,4,false
Producto Prueba 287,1,7,,423.12,176,30,4,false
Producto Prueba 288,8,9,24 - 200 g pkgs,61.83,25,50,0,false
Producto Prueba 289,5,6,12 - 500 g pkgs,245.83,257,22,9,false
Producto Prueba 290,7,2,paquete x 5,370.95,247,2,3,false
Producto Prueba 291,5,4,10 unidades,495.97,86,25,16,false
Producto Prueba 292,3,10,paquete x 5,22.85,12,47,4,false
Producto Prueba 293,6,6,,157.77,122,39,18,false
Producto Prueba 294,2,7,10 unidades,438.74,85,42,11,false
Producto Prueba 295,3,7,24 - 200 g pkgs,87.89,120,6,9,false
Producto Prueba 296,2,3,caja x 20,312.31,196,35,6,false
Producto Prueba 297,6,1,,269.66,222,35,7,false
Producto Prueba 298,8,9,10 unidades,383.78,18,41,28,false
Producto Prueba 299,5,10,,11.3,295,45,28,false
Producto Prueba 300,8,9,10 unidades,375.19,278,32,28,false
Producto Prueba 301,5,4,12 - 500 g pkgs,404.02,217,28,27,false
Producto Prueba 302,5,8,24 - 200 g pkgs,327.36,151,9,1,false
Producto Prueba 303,8,,paquete x 5,254.71,226,31,11,false
Producto Prueba 304,7,7,24 - 200 g pkgs,136.0,278,28,1,false
Producto Prueba 305,6,1,12 - 500 g pkgs,108.65,50,21,9,false
Producto Prueba 306,2,7,,494.48,292,6,28,false
Producto Prueba 307,2,3,caja x 20,315.05,284,46,19,false
Producto Prueba 308,4,5,caja x 20,371.67,121,39,26,false
Producto Prueba 309,3,5,paquete x 5,64.44,171,13,29,false
Producto Prueba 310,2,3,24 - 200 g pkgs,475.79,162,35,10,false
Producto Prueba 311,6,3,,241.32,21,24,17,false
Producto Prueba 312,8,7,12 - 500 g pkgs,292.87,10,49,8,false
Producto Prueba 313,5,7,paquete x 5,356.37,194,18,17,false
Producto Prueba 314,3,1,10 unidades,343.62,151,11,14,false
Producto Prueba 315,8,,10 unidades,467.15,212,20,23,false
Producto Prueba 316,2,4,12 - 500 g pkgs,347.07,213,10,19,false
Producto Prueba 317,5,2,caja x 20,332.23,144,39,26,false
Producto Prueba 318,4,9,caja x 20,190.64,121,38,9,false
Producto Prueba 319,2,6,,404.75,213,43,1,false
Producto Prueba 320,7,9,10 unidades,405.69,61,33,25,true
Producto Prueba 321,8,9,24 - 200 g pkgs,132.7,149,26,23,false
Producto Prueba 322,3,5,caja x 20,439.6,38,32,3,false
Producto Prueba 323,8,1,caja x 20,210.55,89,24,22,false
Producto Prueba 324,7,1,12 - 500 g pkgs,2.64,232,15,27,false
Producto Prueba 325,4,8,10 unidades,376.56,254,50,24,false
Producto Prueba 326,5,7,,467.16,246,47,30,false
Producto Prueba 327,8,,caja x 20,232.2,14,36,21,false
Producto Prueba 328,3,1,12 - 500 g pkgs,194.69,272,35,26,false
Producto Prueba 329,7,10,paquete x 5,356.12,295,6,18,false
Producto Prueba 330,7,7,12 - 500 g pkgs,182.53,19,2,10,false
Producto Prueba 331,8,3,paquete x 5,302.23,197,46,30,false
Producto Prueba 332,3,1,10 unidades,278.71,108,11,28,false
Producto Prueba 333,7,4,,315.62,145,41,2,false
Producto Prueba 334,6,9,10 unidades,396.07,83,24,23,false
Producto Prueba 335,7,1,caja x 20,284.47,169,21,4,false
Producto Prueba 336,7,6,24 - 200 g pkgs,354.85,62,24,23,false
Producto Prueba 337,8,7,paquete x 5,411.37,77,7,27,false
Producto Prueba 338,1,4,10 unidades,285.78,51,12,29,false
Producto Prueba 339,2,9,24 - 200 g pkgs,382.98,111,37,11,false
Producto Prueba 340,7,6,caja x 20,84.79,258,49,13,false
Producto Prueba 341,5,1,,303.87,59,22,26,false
Producto Prueba 342,2,1,,343.9,149,41,27,false
Producto Prueba 343,6,10,paquete x 5,8.98,238,49,4,false
Producto Prueba 344,6,6,,97.48,95,10,25,false
Producto Prueba 345,6,9,,176.79,123,37,24,false
Producto Prueba 346,1,4,24 - 200 g pkgs,457.86,245,24,14,false
Producto Prueba 347,2,3,12 - 500 g pkgs,45.41,233,17,10,false
Producto Prueba 348,4,3,caja x 20,42.99,127,36,24,false
Producto Prueba 349,3,4,caja x 20,346.6,111,12,14,false
Producto Prueba 350,3,10,12 - 500 g pkgs,441.49,237,22,8,false
Producto Prueba 351,2,1,12 - 500 g pkgs,146.5,191,4,18,false
Producto Prueba 352,2,5,,424.99,77,48,0,false
Producto Prueba 353,4,7,caja x 20,340.72,289,26,27,false
Producto Prueba 354,6,5,10 unidades,321.12,13,30,24,false
Producto Prueba 355,3,5,caja x 20,195.84,25,5,10,false
Producto Prueba 356,3,9,paquete x 5,86.29,36,23,19,false
Producto Prueba 357,1,4,paquete x 5,6.29,127,1,23,false
Producto Prueba 358,4,8,,489.57,248,4,0,false
Producto Prueba 359,7,3,10 unidades,217.49,68,34,7,false
Producto Prueba 360,5,10,paquete x 5,227.51,76,50,22,false
Producto Prueba 361,3,3,24 - 200 g pkgs,35.23,215,1,27,false
Producto Prueba 362,6,9,,163.12,134,47,28,false
Producto Prueba 363,2,9,paquete x 5,313.32,263,46,24,false
Producto Prueba 364,6,2,,382.39,243,26,23,false
Producto Prueba 365,8,3,caja x 20,269.52,189,14,21,false
Producto Prueba 366,2,9,,193.91,256,3,20,false
Producto Prueba 367,6,7,caja x 20,22.93,21,47,8,false
Producto Prueba 368,1,5,12 - 500 g pkgs,185.95,83,17,12,false
Producto Prueba 369,3,8,,335.82,96,45,4,false
Producto Prueba 370,5,6,paquete x 5,426.93,197,34,2,false
Producto Prueba 371,8,2,24 - 200 g pkgs,113.16,200,10,2,false
Producto Prueba 372,5,7,10 unidades,351.81,124,42,28,false
Producto Prueba 373,4,2,12 - 500 g pkgs,423.35,140,19,10,false
Producto Prueba 374,3,2,paquete x 5,406.57,283,28,23,false
Producto Prueba 375,5,4,10 unidades,486.51,155,50,9,false
Producto Prueba 376,7,2,10 unidades,134.5,79,30,24,false
Producto Prueba 377,7,5,caja x 20,27.52,284,18,30,false
Producto Prueba 378,7,5,,382.23,87,4,8,false
Producto Prueba 379,2,10,24 - 200 g pkgs,382.31,275,9,9,false
Producto Prueba 380,5,3,12 - 500 g pkgs,323.16,278,43,19,false
Producto Prueba 381,6,8,10 unidades,88.64,117,47,9,false
Producto Prueba 382,7,10,10 unidades,236.61,275,10,7,false
Producto Prueba 383,8,3,,109.1,196,46,26,false
Producto Prueba 384,7,8,,469.12,80,9,8,false
Producto Prueba 385,7,3,10 unidades,81.65,52,11,23,false
Producto Prueba 386,6,6,24 - 200 g pkgs,199.07,293,20,20,false
Producto Prueba 387,8,9,caja x 20,275.25,297,43,7,false
Producto Prueba 388,7,1,24 - 200 g pkgs,31.1,160,32,15,false
Producto Prueba 389,3,10,,182.77,33,25,22,false
Producto Prueba 390,2,9,caja x 20,19.39,46,29,21,false
Producto Prueba 391,2,7,24 - 200 g pkgs,484.15,182,44,8,false
Producto Prueba 392,4,4,,6.65,52,2,17,false
Producto Prueba 393,6,3,,63.48,145,6,20,false
Producto Prueba 394,8,8,caja x 20,299.89,5,25,9,false
Producto Prueba 395,8,6,10 unidades,35.76,286,39,25,false
Producto Prueba 396,4,8,,451.95,171,47,13,false
Producto Prueba 397,8,7,paquete x 5,414.34,171,9,14,true
Producto Prueba 398,5,1,,187.05,26,15,19,false
Producto Prueba 399,8,10,12 - 500 g pkgs,326.83,245,18,10,false
Producto Prueba 400,3,2,12 - 500 g pkgs,47.13,45,11,22,false
Producto Prueba 401,1,10,paquete x 5,160.94,138,25,10,false
Producto Prueba 402,4,10,10 unidades,458.55,62,23,19,false
Producto Prueba 403,3,5,10 unidades,471.26,198,27,11,false
Producto Prueba 404,1,1,paquete x 5,407.65,81,38,2,false
Producto Prueba 405,2,6,paquete x 5,285.49,292,9,9,false
Producto Prueba 406,5,5,12 - 500 g pkgs,140.48,37,48,21,false
Producto Prueba 407,5,6,caja x 20,434.55,187,25,8,false
Producto Prueba 408,6,1,24 - 200 g pkgs,100.77,135,24,12,true
Producto Prueba 409,2,1,10 unidades,174.32,32,48,25,false
Producto Prueba 410,3,2,12 - 500 g pkgs,460.5,184,35,13,false
Producto Prueba 411,6,10,12 - 500 g pkgs,37.65,231,40,18,true
Producto Prueba 412,1,8,24 - 200 g pkgs,23.3,4,15,15,false
Producto Prueba 413,5,8,12 - 500 g pkgs,3.97,2,4,22,false
Producto Prueba 414,5,9,10 unidades,22.66,25,20,9,false
Producto Prueba 415,4,10,caja x 20,392.92,135,35,10,false
Producto Prueba 416,3,2,paquete x 5,489.78,283,12,0,false
Producto Prueba 417,7,6,paquete x 5,287.3,207,22,20,false
Producto Prueba 418,6,4,10 unidades,332.9,104,12,1,false
Producto Prueba 419,8,1,24 - 200 g pkgs,373.43,211,9,7,false
Producto Prueba 420,6,2,paquete x 5,22.59,272,45,4,false
Producto Prueba 421,8,8,,337.81,124,3,21,false
Producto Prueba 422,7,3,caja x 20,32.99,107,26,15,false
